bucket_id,hour,slot,time_label,token_count,bucket_median,global_median,heat_factor,smooth_heat_factor
0_1,0,1,00:00,23,27.047377,29.2978,0.923188,0.934167
0_2,0,2,00:15,31,29.957699,29.2978,1.022524,0.926068
0_3,0,3,00:30,24,30.783418,29.2978,1.050707,0.913281
0_4,0,4,00:45,26,25.679357,29.2978,0.876494,0.895983
1_1,1,1,01:00,31,20.196277,29.2978,0.689344,0.867851
1_2,1,2,01:15,29,23.235195,29.2978,0.79307,0.893268
1_3,1,3,01:30,26,30.915398,29.2978,1.055212,0.945668
1_4,1,4,01:45,27,25.93401,29.2978,0.885186,1.015279
2_1,2,1,02:00,22,38.446701,29.2978,1.312273,1.088332
2_2,2,2,02:15,32,29.161591,29.2978,0.995351,1.091077
2_3,2,3,02:30,42,39.115059,29.2978,1.335085,1.076238
2_4,2,4,02:45,36,27.80203,29.2978,0.948946,1.010273
3_1,3,1,03:00,27,23.739425,29.2978,0.81028,0.939727
3_2,3,2,03:15,26,26.845178,29.2978,0.916286,0.923303
3_3,3,3,03:30,27,23.348562,29.2978,0.796939,0.905156
3_4,3,4,03:45,23,27.522843,29.2978,0.939417,0.921921
4_1,4,1,04:00,33,34.402707,29.2978,1.174242,0.938594
4_2,4,2,04:15,26,23.720812,29.2978,0.809645,0.919322
4_3,4,3,04:30,12,23.947547,29.2978,0.817384,0.915906
4_4,4,4,04:45,18,27.200508,29.2978,0.928415,0.912283
5_1,5,1,05:00,23,28.216582,29.2978,0.963096,0.906766
5_2,5,2,05:15,14,28.028765,29.2978,0.956685,0.913532
5_3,5,3,05:30,18,24.450085,29.2978,0.834537,0.896475
5_4,5,4,05:45,17,25.989848,29.2978,0.887092,0.868387
6_1,6,1,06:00,20,27.788494,29.2978,0.948484,0.835939
6_2,6,2,06:15,23,21.169205,29.2978,0.722553,0.798208
6_3,6,3,06:30,19,19.781726,29.2978,0.675195,0.779115
6_4,6,4,06:45,32,22.735195,29.2978,0.776003,0.778664
7_1,7,1,07:00,22,24.884095,29.2978,0.84935,0.785807
7_2,7,2,07:15,20,23.046531,29.2978,0.78663,0.780422
7_3,7,3,07:30,24,23.851946,29.2978,0.814121,0.754618
7_4,7,4,07:45,27,23.040609,29.2978,0.786428,0.73462
8_1,8,1,08:00,23,16.106599,29.2978,0.549755,0.732295
8_2,8,2,08:15,18,15.352792,29.2978,0.524025,0.768443
8_3,8,3,08:30,25,30.642978,29.2978,1.045914,0.824565
8_4,8,4,08:45,25,31.631134,29.2978,1.079642,0.838861
9_1,9,1,09:00,15,25.36379,29.2978,0.865723,0.838852
9_2,9,2,09:15,17,17.021997,29.2978,0.580999,0.828007
9_3,9,3,09:30,16,17.827411,29.2978,0.60849,0.818048
9_4,9,4,09:45,26,33.516074,29.2978,1.143979,0.842225
10_1,10,1,10:00,28,29.541455,29.2978,1.008316,0.845609
10_2,10,2,10:15,32,19.106599,29.2978,0.652151,0.840128
10_3,10,3,10:30,25,21.013536,29.2978,0.717239,0.856696
10_4,10,4,10:45,28,25.653976,29.2978,0.875628,0.88014
11_1,11,1,11:00,21,29.563452,29.2978,1.009067,0.911652
11_2,11,2,11:15,20,31.527073,29.2978,1.07609,0.964727
11_3,11,3,11:30,27,27.423012,29.2978,0.936009,0.975772
11_4,11,4,11:45,28,21.573604,29.2978,0.736356,0.984154
12_1,12,1,12:00,31,39.693739,29.2978,1.354837,1.016303
12_2,12,2,12:15,32,24.245347,29.2978,0.827548,1.021982
12_3,12,3,12:30,25,32.583756,29.2978,1.112157,1.067476
12_4,12,4,12:45,41,28.634518,29.2978,0.977361,1.093746
13_1,13,1,13:00,41,37.416244,29.2978,1.277101,1.099469
13_2,13,2,13:15,46,35.626904,29.2978,1.216027,1.102182
13_3,13,3,13:30,42,28.733503,29.2978,0.980739,1.095098
13_4,13,4,13:45,42,26.063452,29.2978,0.889604,1.120775
14_1,14,1,14:00,43,33.72758,29.2978,1.151198,1.16167
14_2,14,2,14:15,39,42.416244,29.2978,1.447762,1.198861
14_3,14,3,14:30,29,40.240271,29.2978,1.373491,1.213834
14_4,14,4,14:45,51,30.626058,29.2978,1.045336,1.209222
15_1,15,1,15:00,45,28.302876,29.2978,0.966041,1.198535
15_2,15,2,15:15,51,38.790186,29.2978,1.323997,1.214409
15_3,15,3,15:30,35,42.566836,29.2978,1.452902,1.208011
15_4,15,4,15:45,51,32.340102,29.2978,1.103841,1.184567
16_1,16,1,16:00,51,35.329949,29.2978,1.205891,1.158793
16_2,16,2,16:15,40,24.72335,29.2978,0.843864,1.13009
16_3,16,3,16:30,36,36.902707,29.2978,1.259573,1.160515
16_4,16,4,16:45,42,32.961929,29.2978,1.125065,1.204176
17_1,17,1,17:00,32,40.983926,29.2978,1.398874,1.242243
17_2,17,2,17:15,41,38.373942,29.2978,1.309789,1.24721
17_3,17,3,17:30,49,37.443316,29.2978,1.278025,1.211078
17_4,17,4,17:45,37,30.961083,29.2978,1.056772,1.159849
18_1,18,1,18:00,41,31.121827,29.2978,1.062258,1.109888
18_2,18,2,18:15,44,32.758883,29.2978,1.118135,1.083125
18_3,18,3,18:30,37,30.906937,29.2978,1.054923,1.05529
18_4,18,4,18:45,45,29.554992,29.2978,1.008779,1.022044
19_1,19,1,19:00,33,32.133672,29.2978,1.096795,0.985396
19_2,19,2,19:15,37,26.641286,29.2978,0.909327,0.939929
19_3,19,3,19:30,35,21.834179,29.2978,0.74525,0.936314
19_4,19,4,19:45,46,26.554146,29.2978,0.906353,0.940283
20_1,20,1,20:00,45,29.011844,29.2978,0.99024,0.966319
20_2,20,2,20:15,42,40.142132,29.2978,1.370141,1.011747
20_3,20,3,20:30,35,16.316413,29.2978,0.556916,1.027238
20_4,20,4,20:45,38,33.897631,29.2978,1.157003,1.085498
21_1,21,1,21:00,40,34.980541,29.2978,1.193965,1.113466
21_2,21,2,21:15,32,39.609137,29.2978,1.351949,1.100193
21_3,21,3,21:30,46,30.847716,29.2978,1.052902,1.077951
21_4,21,4,21:45,35,27.040609,29.2978,0.922957,1.045414
22_1,22,1,22:00,37,21.617597,29.2978,0.737857,1.057836
22_2,22,2,22:15,43,34.871404,29.2978,1.19024,1.102848
22_3,22,3,22:30,21,40.553299,29.2978,1.384176,1.157136
22_4,22,4,22:45,31,41.258883,29.2978,1.408259,1.165084
23_1,23,1,23:00,28,23.531303,29.2978,0.803176,1.098091
23_2,23,2,23:15,36,34.482234,29.2978,1.176956,1.034515
23_3,23,3,23:30,29,28.536379,29.2978,0.974011,0.962117
23_4,23,4,23:45,25,20.34687,29.2978,0.694485,0.920149
